customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,monthly_tenure
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,$65.60,$593.30,No,9
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,$59.90,$542.40,No,9
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,$73.90,$280.85,Yes,4
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,$98.00,"$1,237.85",Yes,13
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,$83.90,$267.40,Yes,3
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),$69.40,$571.45,No,8
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),$109.70,"$7,904.25",No,72
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),$84.65,"$5,377.80",No,64
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,$48.20,$340.35,No,7
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,$90.45,"$5,957.90",No,66
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),$45.20,"$2,460.55",No,54
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),$116.80,"$8,456.75",No,72
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,$68.95,$351.50,No,5
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),$101.30,"$7,261.25",No,72
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),$45.05,"$2,560.10",No,57
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),$95.75,"$6,849.40",No,72
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,$61.25,"$1,993.20",No,33
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,$72.10,$72.10,No,1
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),$62.70,"$2,791.50",Yes,45
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,$25.10,$25.10,Yes,1
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,$25.20,"$1,306.30",No,52
